id;room_code;mode;bible_study_session_id;group_number;current_card_id;current_level;used_card_ids;pass_count;status;created_at;updated_at;timer_duration;timer_started_at;timer_running;sharing_mode;shared_member_ids;current_drawer_id;current_drawer_card_id;drawer_order
9c46aa24-5254-4fad-9ec3-6251b720e0d6;9APT;session;2275728a-e362-4476-87ed-bcaf577ea1ef;29;;L1;[];0;active;2026-01-29 03:10:26.271097+00;2026-01-29 03:10:26.271097+00;60;;false;false;[];;;[]
94516215-7ada-4f03-bf59-7f4b7c0c1f3d;3YXX;session;2275728a-e362-4476-87ed-bcaf577ea1ef;30;;L1;[];0;active;2026-01-29 03:10:26.271097+00;2026-01-29 03:10:26.271097+00;60;;false;false;[];;;[]
f760413b-8fa3-4e97-a54c-db608d4d2536;YCHR;session;2275728a-e362-4476-87ed-bcaf577ea1ef;31;;L1;[];0;active;2026-01-29 03:10:26.271097+00;2026-01-29 03:10:26.271097+00;60;;false;false;[];;;[]
e52eec98-6c7f-4ac8-9596-c25b30a77c31;JWSU;session;2275728a-e362-4476-87ed-bcaf577ea1ef;32;;L1;[];0;active;2026-01-29 03:10:26.271097+00;2026-01-29 03:10:26.271097+00;60;;false;false;[];;;[]
df58e1d8-b86f-4ceb-81cf-2bbfd55d3a79;U7ES;session;2275728a-e362-4476-87ed-bcaf577ea1ef;33;;L1;[];0;active;2026-01-29 03:10:26.271097+00;2026-01-29 03:10:26.271097+00;60;;false;false;[];;;[]
51e03c2f-9b0f-4480-b567-91cbbb0b3c87;Y8QF;session;2275728a-e362-4476-87ed-bcaf577ea1ef;34;;L1;[];0;active;2026-01-29 03:10:26.271097+00;2026-01-29 03:10:26.271097+00;60;;false;false;[];;;[]
fdd79c06-4340-4c19-91c9-3913b669eb86;2C7D;session;2275728a-e362-4476-87ed-bcaf577ea1ef;35;;L1;[];0;active;2026-01-29 03:10:26.271097+00;2026-01-29 03:10:26.271097+00;60;;false;false;[];;;[]
fc0c615c-12b8-4082-822a-cf56a8099fa4;4JP6;session;2275728a-e362-4476-87ed-bcaf577ea1ef;36;;L1;[];0;active;2026-01-29 03:10:26.271097+00;2026-01-29 03:10:26.271097+00;60;;false;false;[];;;[]
e54e7bff-430c-41cb-9dc4-05626e39ea65;ZHDU;session;2275728a-e362-4476-87ed-bcaf577ea1ef;37;;L1;[];0;active;2026-01-29 03:10:26.271097+00;2026-01-29 03:10:26.271097+00;60;;false;false;[];;;[]
4e89cac3-981b-490d-99ce-07f82577df3b;JPTX;session;2275728a-e362-4476-87ed-bcaf577ea1ef;38;;L1;[];0;active;2026-01-29 03:10:26.271097+00;2026-01-29 03:10:26.271097+00;60;;false;false;[];;;[]
